Sample,Cluster1,Cluster2,Subspecies,Lat_final,Lon_final
AM001,8.73E-13,1,H. a. conferta,-35.26666667,149.1
AM002,0.999999999,7.00E-10,H. a. armigera,-35.26666667,149.1
AM003,2.06E-09,0.999999998,H. a. conferta,-35.26666667,149.1
AM004,1.72E-11,1,H. a. conferta,-35.26666667,149.1
AM005,8.56E-10,0.999999999,H. a. conferta,-35.26666667,149.1
AM006,1.25E-09,0.999999999,H. a. conferta,-35.26666667,149.1
AM007,4.68E-16,1,H. a. conferta,-19.56666667,147.4
AM009,7.64E-09,0.999999992,H. a. conferta,-24.86666667,152.35
AM010,2.51E-21,1,H. a. conferta,-21.9,149.8833333
AM011,1,3.42E-13,H. a. armigera,-27.88333333,151.2666667
AM013,2.29E-15,1,H. a. conferta,-27.46666667,153.0333333
AM014,3.23E-10,1,H. a. conferta,-23.36666667,150.5166667
AM015,7.24E-15,1,H. a. conferta,-33.83333333,148.6833333
AM016,1.93E-13,1,H. a. conferta,-18.65,146.1666667
AM017,2.33E-16,1,H. a. conferta,-18.65,146.1666667
AM018,8.36E-06,0.999991637,H. a. conferta,-18.65,146.1666667
AM019,2.61E-17,1,H. a. conferta,-13.98333333,143.55
AM020,4.13E-10,1,H. a. conferta,-13.98333333,143.55
AM021,1.06E-15,1,H. a. conferta,-13.98333333,143.55
AM022,1.25E-16,1,H. a. conferta,-13.98333333,143.55
AM023,1.07E-15,1,H. a. conferta,-13.98333333,143.55
AM024,5.21E-13,1,H. a. conferta,-13.98333333,143.55
AM025,8.46E-15,1,H. a. conferta,-13.98333333,143.55
AM026,2.89E-17,1,H. a. conferta,-17,145.4333333
AM027,4.14E-13,1,H. a. conferta,-17,145.4333333
AM028,4.07E-17,1,H. a. conferta,-13.98333333,143.55
AM029,5.33E-15,1,H. a. conferta,-12.43333333,130.9166667
AM030,7.82E-14,1,H. a. conferta,-12.46666667,130.8333333
AM031,1,2.13E-16,H. a. armigera,-12.43333333,130.9166667
AM032,3.07E-15,1,H. a. conferta,-12.61666667,131.25
AM033,1.90E-09,0.999999998,H. a. conferta,-15.65,128.7
AM034,5.25E-15,1,H. a. conferta,-15.65,128.7
AM035,9.73E-16,1,H. a. conferta,-15.65,128.7
AM036,1.49E-15,1,H. a. conferta,-15.65,128.7
AM037,9.50E-12,1,H. a. conferta,-15.65,128.7
