Sample ID,Percent Mitogenome Coverage,Year of collection,Australian State/Territory of Collection
AM001,12.5757,1953,ACT
AM002,45.3704,1955,ACT
AM003,6.555,1958,ACT
AM004,40.8549,1960,ACT
AM005,13.892,1960,ACT
AM006,25.9986,1965,ACT
AM007,15.9249,1953,QLD
AM009,33.0423,1954,QLD
AM010,28.7287,1955,QLD
AM011,70.1766,1957,QLD
AM012,0,1957,QLD
AM013,45.9308,1958,QLD
AM014,5.4473,1958,QLD
AM015,16.1791,1960,QLD
AM016,80.3219,1961,QLD
AM017,51.124,1961,QLD
AM018,60.6242,1961,QLD
AM019,51.1175,1961,QLD
AM020,45.4551,1961,QLD
AM021,55.4962,1962,QLD
AM022,74.5879,1962,QLD
AM023,44.3865,1962,QLD
AM024,94.73513,1962,QLD
AM025,53.2156,1962,QLD
AM026,45.8852,1962,QLD
AM027,74.6074,1963,QLD
AM028,87.8804,1963,QLD
AM029,74.0992,1956,NT
AM030,69.6553,1956,NT
AM031,90.30429,1956,NT
AM032,15.332,1959,NT
AM033,67.062,1956,WA
AM034,40.4183,1956,WA
AM035,78.7776,1957,WA
AM036,30.7682,1957,WA
AM037,19.4826,1957,WA
AM038,11.8069,1957,WA
AM039,40.7115,1962,WA
AM040,6.5746,1969,WA
AM041,13.6639,1969,WA
AM042,45.7744,1969,WA
AM043,25.562,1969,WA
AM044,18.9027,1970,WA
AM045,36.6521,1973,NSW
AM046,0,1973,NSW
AM047,43.2658,1976,NSW
AM048,44.6016,1976,NSW
AM049,27.8491,1973,NT
AM050,10.0345,1973,NT
AM051,46.1067,1973,NT
AM052,45.0837,1973,NT
AM053,21.1051,1977,QLD
AM054,36.6261,1977,QLD
AM055,24.0373,1977,QLD
AM056,91.03408,1982,NT
AM057,0,1982,NT
AM058,80.2828,1982,NT
AM059,0,1980,QLD
AM060,37.5643,1982,QLD
AM061,51.1566,1982,QLD
AM062,51.1305,1982,QLD
AM063,84.2705,1983,QLD
AM064,20.0039,1984,QLD
AM065,26.989,1985,QLD
AM066,20.2645,1985,QLD
AM067,50.2053,1991,NT
AM068,8.4707,1995,NT
AM069,22.5647,1995,NT
AM070,18.2055,1995,NT
AM071,29.6279,1995,NT
AM072,0,1995,NT
AM073,83.7558,1995,NT
AM074,86.7792,1990,QLD
AM075,74.855,1990,QLD
AM076,39.5061,1992,QLD
AM077,66.2931,1993,QLD
AM078,87.118,1993,QLD
AM079,84.7723,1993,QLD
AM080,0,1993,QLD
AM081,80.6933,1993,QLD
AM082,81.0191,1993,QLD
AM083,18.6291,1993,QLD
AM084,7.1871,1993,QLD
AM085,90.62357,1993,QLD
AM086,31.687,1993,QLD
AM087,84.1924,1994,QLD
AM088,90.44113,1995,QLD
AM089,36.1308,1988,WA
AM090,78.2368,1988,WA
AM091,49.7557,1988,WA
AM092,13.2143,1995,WA
AM093,14.107,1960,WA
AM094,0,1960,WA
AM095,31.1657,1960,WA
AM096,7.2848,1960,WA
AM097,24.1089,1960,WA
AM098,5.7536,1960,WA
AM099,47.8335,1961,NSW
AM100,10.204,1961,WA
AM101,62.0903,1962,QLD
AM102,20.6555,1962,QLD
AM103,26.3309,1962,QLD
AM104,30.5988,1962,QLD
AM105,38.1182,1962,WA
AM106,33.0684,1962,WA
AM107,31.1983,1962,WA
AM108,27.3799,1962,WA
AM109,27.5103,1962,WA
AM110,50.3812,1962,WA
AM111,26.1289,1962,WA
AM112,35.577,1962,WA
AM113,33.2508,1962,WA
AM114,19.0721,1964,NSW
AM115,32.6057,1964,NSW
AM116,37.7533,1964,NSW
AM117,24.5129,1965,NSW
AM118,0,1965,QLD
AM119,53.0266,1966,QLD
AM120,30.5467,1968,NSW
AM121,43.2202,1973,VIC
AM123,32.8598,1968,WA
AM125,7.161,1968,WA
AM126,18.9223,1968,WA
AM127,33.329,1968,WA
AM128,61.1976,1968,WA
AM129,0,1968,WA
AM130,21.0074,1968,WA
AM131,22.4865,1968,WA
AM132,27.7448,1968,WA
AM133,18.2251,1969,NSW
AM134,0,1969,NSW
AM135,10.2235,1969,NSW
AM136,28.7809,1969,QLD
AM137,21.0334,1969,QLD
AM138,36.4762,1969,QLD
AM139,20.9878,1969,WA
AM140,0,1970,NSW
AM141,12.6865,1970,QLD
AM142,11.0706,1970,QLD
AM143,32.7426,1970,QLD
AM144,12.5823,1970,QLD
AM145,10.7839,1971,NSW
AM146,8.4446,1972,QLD
AM147,16.557,1974,NSW
AM148,0,1974,NSW
AM149,10.1192,1974,NSW
AM150,7.7149,1974,NSW
AM151,24.8062,1974,NSW
AM152,15.1951,1974,NSW
AM153,14.5696,1974,NSW
AM154,6.5681,1974,NSW
AM155,0,1975,NSW
AM156,10.7317,1975,NSW
AM157,20.5773,1976,QLD
AM158,8.2883,1977,QLD
AM159,15.1365,1977,QLD
AM160,0,1977,QLD
AM161,18.3945,1977,WA
AM162,21.5026,1977,WA
AM164,5.4213,1977,WA
AM165,16.4071,1977,WA
AM166,17.7755,1977,WA
AM167,13.3446,1977,WA
AM168,0,1977,WA
AM169,21.8023,1977,WA
AM170,6.9981,1978,NSW
AM171,13.9832,1978,WA
AM172,8.6206,1978,WA
AM173,8.4121,1978,WA
AM174,35.16,1978,WA
AM175,0,1978,WA
AM176,10.647,1978,WA
AM177,34.5475,1978,WA
AM178,24.2067,1978,WA
AM179,56.4475,1978,WA
AM180,36.9518,1978,WA
AM181,0,1978,WA
AM182,17.5474,1978,WA
AM183,0,1978,WA
AM184,36.2416,1978,WA
AM185,48.8043,1978,WA
AM186,39.5322,1978,WA
AM187,5.0368,1978,WA
AM188,58.4218,1979,QLD
AM189,8.8552,1979,QLD
AM190,30.5532,1979,QLD
AM191,13.8333,1979,QLD
AM192,16.2768,1979,QLD
AM193,5.8513,2007,VIC
AM194,0,1979,QLD
AM195,0,1979,QLD
AM196,7.8582,1979,QLD
AM197,6.5615,1979,QLD
AM198,25.0147,1981,NSW
AM199,11.4811,1982,NSW
AM200,0,1985,QLD
AM201,5.2518,1985,QLD
AM202,16.2833,1985,QLD
AM203,54.8446,1985,QLD
AM204,21.3332,1985,QLD
AM205,8.979,1985,QLD
AM206,19.4826,1987,QLD
AM207,21.1181,1987,QLD
AM208,34.2803,1987,QLD
AM209,0,1989,QLD
AM210,0,1989,QLD
AM211,0,1989,QLD
AM213,0,1990,QLD
AM214,34.7625,1990,QLD
AM215,42.8357,1990,QLD
AM216,0,1990,QLD
AM217,6.9199,1990,QLD
AM218,0,1990,QLD
AM219,0,1993,NSW
AM220,0,2015,NSW
AM221,9.4481,2015,NSW
AM222,7.8387,2015,NSW
AM223,0,2015,NSW
AM224,0,2015,NSW
AM225,0,2015,NSW
AM226,0,2015,NSW
AM227,17.1564,2015,NSW
AM228,8.9399,2015,NSW
AM229,17.3063,2015,NSW
AM230,8.8486,2015,NSW
AM231,8.2101,2015,NSW
AM232,0,2015,NSW
AM233,10.3864,2015,NSW
AM234,0,2015,NSW
AM235,31.4459,1903,QLD
AM236,0,1907,QLD
AM237,14.4849,1910,NSW
AM239,0,1914,NSW
AM240,0,1914,NSW
AM241,0,1914,NSW
AM242,0,1914,NSW
AM243,0,1914,NSW
AM244,55.0531,1917,NSW
AM245,33.3094,1918,NSW
AM246,16.9935,1918,NSW
AM247,0,1920,NSW
AM248,0,1922,NSW
AM249,25.5164,1923,NSW
AM250,27.3799,1923,NSW
AM251,0,1923,QLD
AM252,9.0115,1923,QLD
AM253,8.6792,1925,QLD
AM254,0,1928,NSW
AM255,0,1928,QLD
AM256,0,1928,QLD
AM257,0,1929,NSW
AM258,0,1929,NSW
AM259,0,1929,NSW
AM260,0,1929,NSW
AM261,0,1929,QLD
AM262,19.9518,1929,QLD
AM263,0,1929,QLD
AM264,0,1929,QLD
AM265,18.414,1932,QLD
AM266,0,1937,QLD
AM267,0,1937,QLD
AM268,0,1937,QLD
AM269,0,1939,QLD
AM270,0,1944,QLD
AM271,11.6375,1950,QLD
AM272,0,1950,QLD
AM275,9.0962,1954,WA
AM276,0,2015,LAB
AM277,0,1959,QLD
AM278,0,1959,QLD
AM279,0,1959,QLD
