Sample ID,Lat_final,Lon_final
AM001,-35.26666667,149.1
AM002,-35.26666667,149.1
AM003,-35.26666667,149.1
AM005,-35.26666667,149.1
AM006,-35.26666667,149.1
AM007,-19.56666667,147.4
AM009,-24.86666667,152.35
AM010,-21.9,149.8833333
AM011,-27.88333333,151.2666667
AM012,-27.86666667,151.2666667
AM013,-27.46666667,153.0333333
AM014,-23.36666667,150.5166667
AM015,-33.83333333,148.6833333
AM016,-18.65,146.1666667
AM017,-18.65,146.1666667
AM018,-18.65,146.1666667
AM019,-13.98333333,143.55
AM020,-13.98333333,143.55
AM021,-13.98333333,143.55
AM022,-13.98333333,143.55
AM023,-13.98333333,143.55
AM024,-13.98333333,143.55
AM025,-13.98333333,143.55
AM026,-17,145.4333333
AM027,-17,145.4333333
AM028,-13.98333333,143.55
AM029,-12.43333333,130.9166667
AM030,-12.46666667,130.8333333
AM031,-12.43333333,130.9166667
AM032,-12.61666667,131.25
AM033,-15.65,128.7
AM034,-15.65,128.7
AM035,-15.65,128.7
AM036,-15.65,128.7
AM037,-15.65,128.7
AM038,-15.65,128.7
AM039,-15.76666667,128.7333333
AM040,-15.76666667,128.7333333
AM041,-15.76666667,128.7333333
AM042,-15.76666667,128.7333333
AM043,-15.65,128.7
AM044,-15.65,128.7
AM045,-35.35,149.2333333
AM046,-35.33333333,149.25
AM047,-34.26666667,150.7333333
AM049,-16.41666667,130.9666667
AM050,-14.46666667,132.2666667
AM051,-12.58333333,132.8666667
AM052,-16.4,131.0166667
AM053,-17.86666667,146.1
AM054,-15.46666667,145.2166667
AM055,-15.5,145.25
AM056,-14.03333333,136.6
AM057,-12.31666667,133.3166667
AM058,-12.31666667,133.3166667
AM059,-16.66666667,145.6333333
AM060,-17.26666667,145.4833333
AM061,-17.26666667,145.4833333
AM062,-17.26666667,145.4833333
AM063,-27.55,151.9833333
AM064,-27.35,151.1
AM065,-27.35,151.1
AM066,-27.55,151.9833333
AM067,-12.35,130.8666667
AM074,-28.35,145.75
AM075,-11.68333333,142.7
AM076,-12.66666667,142.6833333
AM077,-11.75,142.5833333
AM078,-11.68333333,142.7
AM079,-13.66666667,142.6666667
AM080,-12.66666667,142.6666667
AM081,-12.66666667,142.6666667
AM082,-12.66666667,142.6666667
AM083,-14.68333333,142.2666667
AM084,-15.18333333,143.8666667
AM085,-11.75,142.5833333
AM086,-11.75,142.5833333
AM088,-27.93333333,145.7833333
AM089,-14.86666667,125.8333333
AM090,-14.86666667,125.8333333
AM091,-15,125.35
AM099,-32.93333333,151.7666667
AM101,-19.86666667,146.6833333
AM102,-19.86666667,146.6833333
AM103,-19.86666667,146.6833333
AM104,-19.86666667,146.6833333
AM114,-33.81666667,151.0333333
AM115,-33.6,150.8
AM116,-33.6,150.8
AM117,-29.65,150.3166667
AM118,-17.26666667,145.4833333
AM119,-17.26666667,145.4833333
AM120,-30.2,149.6
AM121,-37.38333333,145.1
AM133,-30.2,149.6
AM134,-32.23333333,148.25
AM135,-33.6,150.8
AM136,-27.56666667,152.2833333
AM137,-27.56666667,152.2833333
AM138,-27.56666667,152.2833333
AM140,-28.83333333,153.4333333
AM141,-17,145.4333333
AM142,-17,145.4333333
AM143,-17,145.4333333
AM144,-17,145.4333333
AM145,-30.2,149.6
AM146,-17.26666667,145.4833333
AM147,-33.81666667,151.0333333
AM148,-33.81666667,151.0333333
AM149,-33.81666667,151.0333333
AM150,-33.81666667,151.0333333
AM151,-33.81666667,151.0333333
AM152,-33.81666667,151.0333333
AM153,-33.81666667,151.0333333
AM154,-33.81666667,151.0333333
AM155,-28.73333333,153.5
AM156,-33.81666667,151.0333333
AM157,-27.46666667,153.0333333
AM158,-27.46666667,153.0333333
AM159,-27.46666667,153.0333333
AM160,-27.46666667,153.0333333
AM170,-33.81666667,151.0333333
AM188,-27.56666667,151.45
AM189,-27.56666667,151.45
AM190,-27.56666667,151.45
AM191,-27.46666667,153.0333333
AM192,-27.55,151.3833333
AM194,-27.55,151.3833333
AM195,-27.66666667,152.2333333
AM196,-27.66666667,152.2333333
AM197,-27.66666667,152.2333333
AM198,-34.6,146.35
AM199,-34.5,144.85
AM200,-27.35,151.1
AM201,-27.35,151.1
AM202,-27.35,151.1
AM203,-27.35,151.1
AM204,-27.35,151.1
AM205,-27.35,151.1
AM206,-20.73333333,139.4833333
AM207,-20.73333333,139.4833333
AM208,-20.73333333,139.4833333
AM209,-19.56666667,147.4
AM210,-19.56666667,147.4
AM211,-19.56666667,147.4
AM213,-27.88333333,151.2666667
AM214,-27.88333333,151.2666667
AM215,-27.88333333,151.2666667
AM216,-27.88333333,151.2666667
AM217,-27.88333333,151.2666667
AM218,-27.88333333,151.2666667
AM219,-30.83333333,152.9333333
AM220,-30.2,149.6
AM221,-30.2,149.6
AM222,-30.2,149.6
AM223,-30.2,149.6
AM224,-30.2,149.6
AM225,-30.2,149.6
AM226,-30.2,149.6
AM227,-30.2,149.6
AM228,-30.2,149.6
AM229,-30.2,149.6
AM230,-30.2,149.6
AM231,-30.2,149.6
AM232,-30.2,149.6
AM233,-30.2,149.6
AM234,-30.2,149.6
AM235,-17.26666667,145.4833333
AM236,-27.46666667,153.0333333
AM237,-33.88333333,151.2166667
AM239,-33.88333333,151.2166667
AM240,-33.88333333,151.2166667
AM241,-33.88333333,151.2166667
AM242,-33.88333333,151.2166667
