,Sample,cluster1,cluster2,Latitude,Longitude,Subspecies
1,AM010,3.41E-20,1,-21.9,149.8833333,H. a. conferta
2,AM011,1.14E-19,1,-27.88333333,151.2666667,H. a. conferta
3,AM013,1.14E-19,1,-27.46666667,153.0333333,H. a. conferta
4,AM016,1.14E-19,1,-18.65,146.1666667,H. a. conferta
5,AM018,1.14E-19,1,-18.65,146.1666667,H. a. conferta
6,AM019,1.14E-19,1,-13.98333333,143.55,H. a. conferta
7,AM021,1.14E-19,1,-13.98333333,143.55,H. a. conferta
8,AM022,3.41E-20,1,-13.98333333,143.55,H. a. conferta
9,AM023,1.14E-19,1,-13.98333333,143.55,H. a. conferta
10,AM024,7.38E-20,1,-13.98333333,143.55,H. a. conferta
11,AM025,1,2.98E-15,-13.98333333,143.55,H. a. armigera
12,AM027,1,2.98E-15,-17,145.4333333,H. a. armigera
13,AM028,1,5.15E-15,-13.98333333,143.55,H. a. armigera
14,AM029,1.96E-19,1,-12.43333333,130.9166667,H. a. conferta
15,AM030,1,2.98E-15,-12.46666667,130.8333333,H. a. armigera
16,AM031,1.14E-19,1,-12.43333333,130.9166667,H. a. conferta
17,AM033,7.38E-20,1,-15.65,128.7,H. a. conferta
18,AM035,1.96E-19,1,-15.65,128.7,H. a. conferta
19,AM039,7.21E-20,1,-15.76666667,128.7333333,H. a. conferta
20,AM042,1,6.85E-23,-15.76666667,128.7333333,H. a. armigera
21,AM052,1,1.18E-22,-16.4,131.0166667,H. a. armigera
22,AM056,1,6.85E-23,-14.03333333,136.6,H. a. armigera
23,AM058,1,1.18E-22,-12.31666667,133.3166667,H. a. armigera
24,AM060,1.92E-19,1,-17.26666667,145.4833333,H. a. conferta
25,AM062,1,6.85E-23,-17.26666667,145.4833333,H. a. armigera
26,AM063,1,1.10E-19,-27.55,151.9833333,H. a. armigera
27,AM069,1,6.85E-23,-15.66,130.21,H. a. armigera
28,AM070,1.92E-19,1,-15.96,129.55,H. a. conferta
29,AM073,1,6.85E-23,-12.61,131.1,H. a. armigera
30,AM074,1.11E-19,1,-28.35,145.75,H. a. conferta
31,AM075,1.11E-19,1,-11.68333333,142.7,H. a. conferta
32,AM076,1.92E-19,1,-12.66666667,142.6833333,H. a. conferta
33,AM077,1,6.85E-23,-11.75,142.5833333,H. a. armigera
34,AM078,1,1.18E-22,-11.68333333,142.7,H. a. armigera
35,AM079,1.96E-19,1,-13.66666667,142.6666667,H. a. conferta
36,AM081,1.96E-19,1,-12.66666667,142.6666667,H. a. conferta
37,AM082,1.14E-19,1,-12.66666667,142.6666667,H. a. conferta
38,AM085,1.96E-19,1,-11.75,142.5833333,H. a. conferta
39,AM086,1.14E-19,1,-11.75,142.5833333,H. a. conferta
40,AM087,1.14E-19,1,-11.75,142.58,H. a. conferta
41,AM088,4.80E-18,1,-27.93333333,145.7833333,H. a. conferta
42,AM089,1.14E-19,1,-14.86666667,125.8333333,H. a. conferta
43,AM090,1.14E-19,1,-14.86666667,125.8333333,H. a. conferta
44,AM099,1.96E-19,1,-32.93333333,151.7666667,H. a. conferta
45,AM101,7.38E-20,1,-19.86666667,146.6833333,H. a. conferta
46,AM105,1.14E-19,1,-15.76666667,128.7333333,H. a. conferta
47,AM106,1.14E-19,1,-15.76666667,128.7333333,H. a. conferta
48,AM107,3.41E-20,1,-15.76666667,128.7333333,H. a. conferta
49,AM108,1.96E-19,1,-15.76666667,128.7333333,H. a. conferta
50,AM109,1.14E-19,1,-15.76666667,128.7333333,H. a. conferta
51,AM110,1.96E-19,1,-15.76666667,128.7333333,H. a. conferta
52,AM112,1.96E-19,1,-15.76666667,128.7333333,H. a. conferta
53,AM115,1,1.22E-16,-33.6,150.8,H. a. armigera
54,AM116,1.96E-19,1,-33.6,150.8,H. a. conferta
55,AM117,1.14E-19,1,-29.65,150.3166667,H. a. conferta
56,AM119,1.14E-19,1,-17.26666667,145.4833333,H. a. conferta
57,AM121,3.41E-20,1,-37.383333,145.1,H. a. conferta
58,AM123,1.96E-19,1,-15.76666667,128.7333333,H. a. conferta
