Sample.ID,Percent.Mitogenome.Coverage,Year.of.collection,Australian.State.Territory.of.Collection,Latitude,Longitude
AM001,12.5757,1953,ACT,-35.26666667,149.1
AM002,45.3704,1955,ACT,-35.26666667,149.1
AM003,6.555,1958,ACT,-35.26666667,149.1
AM005,13.892,1960,ACT,-35.26666667,149.1
AM006,25.9986,1965,ACT,-35.26666667,149.1
AM007,15.9249,1953,QLD,-19.56666667,147.4
AM009,33.0423,1954,QLD,-24.86666667,152.35
AM010,28.7287,1955,QLD,-21.9,149.8833333
AM011,70.1766,1957,QLD,-27.88333333,151.2666667
AM012,0,1957,QLD,-27.86666667,151.2666667
AM013,45.9308,1958,QLD,-27.46666667,153.0333333
AM014,5.4473,1958,QLD,-23.36666667,150.5166667
AM015,16.1791,1960,QLD,-33.83333333,148.6833333
AM016,80.3219,1961,QLD,-18.65,146.1666667
AM017,51.124,1961,QLD,-18.65,146.1666667
AM018,60.6242,1961,QLD,-18.65,146.1666667
AM019,51.1175,1961,QLD,-13.98333333,143.55
AM020,45.4551,1961,QLD,-13.98333333,143.55
AM021,55.4962,1962,QLD,-13.98333333,143.55
AM022,74.5879,1962,QLD,-13.98333333,143.55
AM023,44.3865,1962,QLD,-13.98333333,143.55
AM024,94.73513,1962,QLD,-13.98333333,143.55
AM025,53.2156,1962,QLD,-13.98333333,143.55
AM026,45.8852,1962,QLD,-17,145.4333333
AM027,74.6074,1963,QLD,-17,145.4333333
AM028,87.8804,1963,QLD,-13.98333333,143.55
AM029,74.0992,1956,NT,-12.43333333,130.9166667
AM030,69.6553,1956,NT,-12.46666667,130.8333333
AM031,90.30429,1956,NT,-12.43333333,130.9166667
AM032,15.332,1959,NT,-12.61666667,131.25
AM033,67.062,1956,WA,-15.65,128.7
AM034,40.4183,1956,WA,-15.65,128.7
AM035,78.7776,1957,WA,-15.65,128.7
AM036,30.7682,1957,WA,-15.65,128.7
AM037,19.4826,1957,WA,-15.65,128.7
AM038,11.8069,1957,WA,-15.65,128.7
AM039,40.7115,1962,WA,-15.76666667,128.7333333
AM040,6.5746,1969,WA,-15.76666667,128.7333333
AM041,13.6639,1969,WA,-15.76666667,128.7333333
AM042,45.7744,1969,WA,-15.76666667,128.7333333
AM043,25.562,1969,WA,-15.65,128.7
AM044,18.9027,1970,WA,-15.65,128.7
AM045,36.6521,1973,NSW,-35.35,149.2333333
AM046,0,1973,NSW,-35.33333333,149.25
AM047,43.2658,1976,NSW,-34.26666667,150.7333333
AM049,27.8491,1973,NT,-16.41666667,130.9666667
AM050,10.0345,1973,NT,-14.46666667,132.2666667
AM051,46.1067,1973,NT,-12.58333333,132.8666667
AM052,45.0837,1973,NT,-16.4,131.0166667
AM053,21.1051,1977,QLD,-17.86666667,146.1
AM054,36.6261,1977,QLD,-15.46666667,145.2166667
AM055,24.0373,1977,QLD,-15.5,145.25
AM056,91.03408,1982,NT,-14.03333333,136.6
AM057,0,1982,NT,-12.31666667,133.3166667
AM058,80.2828,1982,NT,-12.31666667,133.3166667
AM059,0,1980,QLD,-16.66666667,145.6333333
AM060,37.5643,1982,QLD,-17.26666667,145.4833333
AM061,51.1566,1982,QLD,-17.26666667,145.4833333
AM062,51.1305,1982,QLD,-17.26666667,145.4833333
AM063,84.2705,1983,QLD,-27.55,151.9833333
AM064,20.0039,1984,QLD,-27.35,151.1
AM065,26.989,1985,QLD,-27.35,151.1
AM066,20.2645,1985,QLD,-27.55,151.9833333
AM067,50.2053,1991,NT,-12.35,130.8666667
AM074,86.7792,1990,QLD,-28.35,145.75
AM075,74.855,1990,QLD,-11.68333333,142.7
AM076,39.5061,1992,QLD,-12.66666667,142.6833333
AM077,66.2931,1993,QLD,-11.75,142.5833333
AM078,87.118,1993,QLD,-11.68333333,142.7
AM079,84.7723,1993,QLD,-13.66666667,142.6666667
AM080,0,1993,QLD,-12.66666667,142.6666667
AM081,80.6933,1993,QLD,-12.66666667,142.6666667
AM082,81.0191,1993,QLD,-12.66666667,142.6666667
AM083,18.6291,1993,QLD,-14.68333333,142.2666667
AM084,7.1871,1993,QLD,-15.18333333,143.8666667
AM085,90.62357,1993,QLD,-11.75,142.5833333
AM086,31.687,1993,QLD,-11.75,142.5833333
