Sample.ID,Country of Origin,State,Locality,Percent.Mitogenome.Coverage
CA003,AUS,NSW,,99.41054541
CA004,AUS,NSW,,99.3522477
CA005,AUS,NSW,,99.41054541
CA006,AUS,NSW,,99.41054541
CA008,AUS,NSW,,99.41054541
CA009,AUS,NSW,,99.41054541
CA010,AUS,NSW,,99.40406788
CA012,AUS,NSW,,99.41054541
CA013,AUS,NSW,,99.41054541
CA016,AUS,NSW,,99.41054541
CA017,AUS,NSW,,99.41054541
CA018,AUS,NSW,,99.41054541
CA019,AUS,NSW,,99.41054541
CA007,BRA,MAG,,99.37168027
CA008,BRA,MAG,,99.41054541
CA002,IND,,,99.41054541
CA004,IND,MAH,Yav,99.41054541
CA005,IND,MAH,Yav,99.41054541
CA002,MAD,VAK,Ant,99.41054541
CA003,MAD,VAK,Ant,99.41054541
CA004,MAD,VAK,Ant,99.41054541
CA001,SPA,AND,Sev,99.39759036
AM001,AUS,ACT,Blm,12.47570929
AM002,AUS,ACT,Blm,44.85684674
AM003,AUS,ACT,Blm,6.451612903
AM004,AUS,ACT,Blm,40.45213111
AM005,AUS,ACT,Blm,13.71291618
AM006,AUS,ACT,Blm,25.65099106
AM007,AUS,QLD,Ayr,15.70799326
AM009,AUS,QLD,Bun,32.69853608
AM010,AUS,QLD,Marl,28.43632595
AM011,AUS,QLD,Mil,69.56211945
AM013,AUS,QLD,Bri,45.42039124
AM014,AUS,QLD,Roc,5.382821609
AM015,AUS,QLD,Cow,15.95413914
AM016,AUS,QLD,Ing,79.69944293
AM017,AUS,QLD,Ing,50.5635445
AM018,AUS,QLD,Ing,60.04663817
AM019,AUS,QLD,Cay,50.66070735
AM020,AUS,QLD,Cay,44.9863972
AM021,AUS,QLD,Cay,54.99417023
AM022,AUS,QLD,Cay,74.01217774
AM023,AUS,QLD,Cay,43.94999352
AM024,AUS,QLD,Cay,94.14431921
AM025,AUS,QLD,Cay,52.75294727
AM026,AUS,QLD,Mar,45.3815261
AM027,AUS,QLD,Mar,73.99274517
AM028,AUS,QLD,Cay,87.29109988
AM029,AUS,NT,Ber,73.54579609
AM030,AUS,NT,Lar,68.9856199
AM031,AUS,NT,Ber,89.69426091
AM032,AUS,NT,Hud,15.0991061
AM033,AUS,WA,Kim,66.47234098
AM034,AUS,WA,Kim,40.0570022
AM035,AUS,WA,Kim,78.17722503
AM036,AUS,WA,Kim,30.48322322
AM037,AUS,WA,Kim,19.26415339
AM038,AUS,WA,Krs,11.64658635
AM039,AUS,WA,Kun,40.31610312
AM040,AUS,WA,Kun,6.484000518
AM041,AUS,WA,Kun,13.46677031
AM042,AUS,WA,Kun,45.18720041
AM043,AUS,WA,Kim,25.2105195
AM044,AUS,WA,Kim,18.68765384
AM045,AUS,NSW,Que,36.2546962
AM047,AUS,NSW,Wil,42.816427
AM048,AUS,NSW,Sac,44.07306646
AM049,AUS,NT,Vrd,27.49708511
AM050,AUS,NT,Kat,9.917087706
AM051,AUS,NT,Mac,45.72483482
AM052,AUS,NT,Vrd,44.52649307
AM053,AUS,QLD,Mib,20.88353414
AM054,AUS,QLD,Coo,36.23526364
AM055,AUS,QLD,Coo,23.80489701
AM056,AUS,NT,Gro,90.43269854
AM058,AUS,NT,Nab,79.66705532
AM060,AUS,QLD,Ath,37.0708641
AM061,AUS,QLD,Ath,50.61536468
AM062,AUS,QLD,Ath,50.61536468
AM063,AUS,QLD,Too,83.65720948
AM064,AUS,QLD,Lbr,19.74349009
AM065,AUS,QLD,Lbr,26.64205208
AM066,AUS,QLD,Too,20.00906853
AM067,AUS,NT,Drp,49.68260137
AM068,AUS,NT,Mat,8.375437233
AM069,AUS,NT,Tic,22.2243814
AM070,AUS,NT,Pin,18.05285659
AM071,AUS,NT,Pin,29.31079155
AM073,AUS,NT,Hud,83.17787278
AM074,AUS,QLD,Cun,86.18992097
AM075,AUS,QLD,Cun,74.23241353
